# Lines starting with "#" are ignored
#
#  LSSS species  Nation  Platform  BEI species
#
         49        58       10      49 Lysprikkfisk, Kolmule
         50        58       10      50 Kolmule, Uer
         51        58       10      51 Andre sorte, 0-Sild, Sild
         52        58       10      52 Bunnfisk
         53        58       10      53 Sild, Brisling
         54        58       10      54 Plankton, Lysprikkfisk
         55        58       10      55 Andre sorter, Bunnfisk
         56        58       10      56 Hvitting, Brosme, Sil
         57        58       10      57 Plankton, 0-gruppe blandet
         58        58       10      58 I-Sild, 0-Sild
         59        58       10      59 II-Lodde, I-Lodde
         60        58       10      60 Andre sorter, II-Sild
         61        58       10      61 0-Sild, Brisling
         62        58       10      62 Bunnfisk, Oeyepaal, Torsk
         63        58       10      63 Bunnfisk, Hyse, Torsk
         64        58       10      64 Pelagisk fisk, Lysprikkfisk
         65        58       10      65
         66        58       10      66 Andre sorter, Uer
         67        58       10      67 Maneter, Reker, Plankton, Lysprikk
         68        58       10      68 Pelagisk, Maneter, Plankton, Lysprikk
         69        58       10      69 Makrell, Sei
       5004        58       10      70 Pilchard
       5007        58       10      71 Anchovy or Vassild, Skolest
       5008        58       10      72 Round herring
       5009        58       10      73 Trachurus trecae
       5010        58       10      74 Hake
       5011        58       10      75 Dentex
       5012        58       10      76 Other demersal fish
       5013        58       10      77 Mesopelagic fish
       5014        58       10      78 Anchovy, Round herring
       5015        58       10      79 Sardinella
       5016        58       10      80 Pelagic 1 fish
       5017        58       10      81 Pelagic 2 fish
       5018        58       10      82 Brachydeuterus
       5019        58       10      83 Sardinella aurita
       5020        58       10      84 Sardinella maderensis
       5021        58       10      85 Decapterus rhonchus
       5003        58       10      86 Taggmakrell
          3        58       10      87 Pelagisk fisk
       5022        58       10      88 Plankton  mesopelagic fish
       5023        58       10      89 Gobies
       5040        58       10      90 Alfonsino
       5842        58       10      91 Orange Roughy
       5039        58       10      92 Rat-Tails
          0        58       11       0 Utolkede data (raadata)
          1        58       11       1 Andre sorter
          2        58       11       2 Bunnfisk
          3        58       11       3 Pelagisk fisk
          4        58       11       4 Maneter
          5        58       11       5 Reker
          6        58       11       6 Plankton
          7        58       11       7 Lysprikkfisk
          8        58       11       8 Polartorsk
          9        58       11       9 II-Sild
         10        58       11      10 I-Sild
         11        58       11      11 0-Sild
         12        58       11      12 Sild
         13        58       11      13 II-Lodde
         14        58       11      14 I-Lodde
         15        58       11      15 0-Lodde
         16        58       11      16 Lodde
         17        58       11      17 0-gruppe blandet
         18        58       11      18 Hvitting
         19        58       11      19 Lyr
         20        58       11      20 Brisling
         21        58       11      21 Makrell
         22        58       11      22 Sei
         23        58       11      23 Vassild
         24        58       11      24 Kolmule
         25        58       11      25 Brosme
         26        58       11      26 Lange
         27        58       11      27 Sil
         28        58       11      28 Oeyepaal
         29        58       11      29 Uer
         30        58       11      30 Hyse
         31        58       11      31 Torsk
         32        58       11      32 0-Uer
         33        58       11      33 0-Polartorsk
         34        58       11      34 0 gruppe brisling
         40        58       11      40
         41        58       11      41 Hyse, Torsk
         42        58       11      42 Vassild, Kolmule
         43        58       11      43 Andre sorter, Lodde
         44        58       11      44 Pelagisk fisk, Plankton
         45        58       11      45 Andre sorter, Plankton
         46        58       11      46 Plankton, 0-Sild, 0-Lodde
         47        58       11      47 Uer, Hyse, Torsk
         48        58       11      48 Lodde, Kolmule
         49        58       11      49 Lysprikkfisk, Kolmule
         50        58       11      50 Kolmule, Uer
         51        58       11      51 Andre sorte, 0-Sild, Sild
         52        58       11      52 Bunnfisk
         53        58       11      53 Sild, Brisling
         54        58       11      54 Plankton, Lysprikkfisk
         55        58       11      55 Andre sorter, Bunnfisk
         56        58       11      56 Hvitting, Brosme, Sil
         57        58       11      57 Plankton, 0-gruppe blandet
         58        58       11      58 I-Sild, 0-Sild
         59        58       11      59 II-Lodde, I-Lodde
         60        58       11      60 Andre sorter, II-Sild
         61        58       11      61 0-Sild, Brisling
         62        58       11      62 Bunnfisk, Oeyepaal, Torsk
         63        58       11      63 Bunnfisk, Hyse, Torsk
         64        58       11      64 Pelagisk fisk, Lysprikkfisk
         65        58       11      65
         66        58       11      66 Andre sorter, Uer
         67        58       11      67 Maneter, Reker, Plankton, Lysprikk
         68        58       11      68 Pelagisk, Maneter, Plankton, Lysprikk
         69        58       11      69 Makrell, Sei
       5001        58       11      70 0-gr.Brisling
