# Lines starting with "#" are ignored
#
#  LSSS species  Nation  Platform  BEI species
#
          2        58       92       2 Bunnfisk
          3        58       92       3 Pelagisk fisk
          4        58       92       4 Maneter
          5        58       92       5 Reker
          6        58       92       6 Plankton
          7        58       92       7 Lysprikkfisk
          8        58       92       8 Polartorsk
          9        58       92       9 II-Sild
         10        58       92      10 I-Sild
         11        58       92      11 0-Sild
         12        58       92      12 Sild
         13        58       92      13 II-Lodde
         14        58       92      14 I-Lodde
         15        58       92      15 0-Lodde
         16        58       92      16 Lodde
         17        58       92      17 0-gruppe blandet
         18        58       92      18 Hvitting
         19        58       92      19 Lyr
         20        58       92      20 Brisling
         21        58       92      21 Makrell
         22        58       92      22 Sei
         23        58       92      23 Vassild
         24        58       92      24 Kolmule
         25        58       92      25 Brosme
         26        58       92      26 Lange
         27        58       92      27 Sil
         28        58       92      28 Oeyepaal
         29        58       92      29 Uer
         30        58       92      30 Hyse
         31        58       92      31 Torsk
         32        58       92      32 0-Uer
         33        58       92      33 0-Polartorsk
         40        58       92      40
         41        58       92      41 Hyse, Torsk
         42        58       92      42 Vassild, Kolmule
         43        58       92      43 Andre sorter, Lodde
         44        58       92      44 Pelagisk fisk, Plankton
         45        58       92      45 Andre sorter, Plankton
         46        58       92      46 Plankton, 0-Sild, 0-Lodde
         47        58       92      47 Uer, Hyse, Torsk
         48        58       92      48 Lodde, Kolmule
         49        58       92      49 Lysprikkfisk, Kolmule
         50        58       92      50 Kolmule, Uer
         51        58       92      51 Andre sorte, 0-Sild, Sild
         52        58       92      52 Bunnfisk
         53        58       92      53 Sild, Brisling
         54        58       92      54 Plankton, Lysprikkfisk
         55        58       92      55 Andre sorter, Bunnfisk
         56        58       92      56 Hvitting, Brosme, Sil
         57        58       92      57 Plankton, 0-gruppe blandet
         58        58       92      58 I-Sild, 0-Sild
         59        58       92      59 II-Lodde, I-Lodde
         60        58       92      60 Andre sorter, II-Sild
         61        58       92      61 0-Sild, Brisling
         62        58       92      62 Bunnfisk, Oeyepaal, Torsk
         63        58       92      63 Bunnfisk, Hyse, Torsk
         64        58       92      64 Pelagisk fisk, Lysprikkfisk
         65        58       92      65
         66        58       92      66 Andre sorter, Uer
         67        58       92      67 Maneter, Reker, Plankton, Lysprikk
         68        58       92      68 Pelagisk, Maneter, Plankton, Lysprikk
         69        58       92      69 Makrell, Sei
       5002        58       92      70 Skolest
       5006        58       92      71 Vassild, Skolest
       5005        58       92      72 Laksesild
          0        58       94       0 Utolkede data (raadata)
          1        58       94       1 Andre sorter
          2        58       94       2 Bunnfisk
          3        58       94       3 Pelagisk fisk
          4        58       94       4 Maneter
          5        58       94       5 Reker
          6        58       94       6 Plankton
          7        58       94       7 Lysprikkfisk
          8        58       94       8 Polartorsk
          9        58       94       9 II-Sild
         10        58       94      10 I-Sild
         11        58       94      11 0-Sild
         12        58       94      12 Sild
         13        58       94      13 II-Lodde
         14        58       94      14 I-Lodde
         15        58       94      15 0-Lodde
         16        58       94      16 Lodde
         17        58       94      17 0-gruppe blandet
         18        58       94      18 Hvitting
         19        58       94      19 Lyr
         20        58       94      20 Brisling
         21        58       94      21 Makrell
         22        58       94      22 Sei
         23        58       94      23 Vassild
         24        58       94      24 Kolmule
         25        58       94      25 Brosme
         26        58       94      26 Lange
         27        58       94      27 Sil
         28        58       94      28 Oeyepaal
         29        58       94      29 Uer
         30        58       94      30 Hyse
         31        58       94      31 Torsk
         32        58       94      32 0-Uer
         33        58       94      33 0-Polartorsk
         40        58       94      40
         41        58       94      41 Hyse, Torsk
         42        58       94      42 Vassild, Kolmule
         43        58       94      43 Andre sorter, Lodde
         44        58       94      44 Pelagisk fisk, Plankton
         45        58       94      45 Andre sorter, Plankton
         46        58       94      46 Plankton, 0-Sild, 0-Lodde
         47        58       94      47 Uer, Hyse, Torsk
         48        58       94      48 Lodde, Kolmule
         49        58       94      49 Lysprikkfisk, Kolmule
         50        58       94      50 Kolmule, Uer
         51        58       94      51 Andre sorte, 0-Sild, Sild
         52        58       94      52 Bunnfisk
         53        58       94      53 Sild, Brisling
         54        58       94      54 Plankton, Lysprikkfisk
         55        58       94      55 Andre sorter, Bunnfisk
         56        58       94      56 Hvitting, Brosme, Sil
         57        58       94      57 Plankton, 0-gruppe blandet
         58        58       94      58 I-Sild, 0-Sild
         59        58       94      59 II-Lodde, I-Lodde
         60        58       94      60 Andre sorter, II-Sild
         61        58       94      61 0-Sild, Brisling
         62        58       94      62 Bunnfisk, Oeyepaal, Torsk
         63        58       94      63 Bunnfisk, Hyse, Torsk
         64        58       94      64 Pelagisk fisk, Lysprikkfisk
         65        58       94      65
         66        58       94      66 Andre sorter, Uer
         67        58       94      67 Maneter, Reker, Plankton, Lysprikk
         68        58       94      68 Pelagisk, Maneter, Plankton, Lysprikk
         69        58       94      69 Makrell, Sei
          0        58       95       0 Utolkede data (raadata)
          1        58       95       1 Andre sorter
          2        58       95       2 Bunnfisk
          3        58       95       3 Pelagisk fisk
          4        58       95       4 Maneter
          5        58       95       5 Reker
          6        58       95       6 Plankton
          7        58       95       7 Lysprikkfisk
          8        58       95       8 Polartorsk
          9        58       95       9 II-Sild
         10        58       95      10 I-Sild
         11        58       95      11 0-Sild
         12        58       95      12 Sild
         13        58       95      13 II-Lodde
         14        58       95      14 I-Lodde
         15        58       95      15 0-Lodde
         16        58       95      16 Lodde
         17        58       95      17 0-gruppe blandet
         18        58       95      18 Hvitting
         19        58       95      19 Lyr
         20        58       95      20 Brisling
         21        58       95      21 Makrell
         22        58       95      22 Sei
         23        58       95      23 Vassild
         24        58       95      24 Kolmule
         25        58       95      25 Brosme
         26        58       95      26 Lange
         27        58       95      27 Sil
         28        58       95      28 Oeyepaal
         29        58       95      29 Uer
         30        58       95      30 Hyse
         31        58       95      31 Torsk
         32        58       95      32 0-Uer
         33        58       95      33 0-Polartorsk
         40        58       95      40
         41        58       95      41 Hyse, Torsk
         42        58       95      42 Vassild, Kolmule
         43        58       95      43 Andre sorter, Lodde
         44        58       95      44 Pelagisk fisk, Plankton
         45        58       95      45 Andre sorter, Plankton
         46        58       95      46 Plankton, 0-Sild, 0-Lodde
         47        58       95      47 Uer, Hyse, Torsk
         48        58       95      48 Lodde, Kolmule
         49        58       95      49 Lysprikkfisk, Kolmule
         50        58       95      50 Kolmule, Uer
         51        58       95      51 Andre sorte, 0-Sild, Sild
         52        58       95      52 Bunnfisk
         53        58       95      53 Sild, Brisling
         54        58       95      54 Plankton, Lysprikkfisk
         55        58       95      55 Andre sorter, Bunnfisk
         56        58       95      56 Hvitting, Brosme, Sil
         57        58       95      57 Plankton, 0-gruppe blandet
         58        58       95      58 I-Sild, 0-Sild
         59        58       95      59 II-Lodde, I-Lodde
         60        58       95      60 Andre sorter, II-Sild
         61        58       95      61 0-Sild, Brisling
         62        58       95      62 Bunnfisk, Oeyepaal, Torsk
         63        58       95      63 Bunnfisk, Hyse, Torsk
         64        58       95      64 Pelagisk fisk, Lysprikkfisk
         65        58       95      65
         66        58       95      66 Andre sorter, Uer
         67        58       95      67 Maneter, Reker, Plankton, Lysprikk
         68        58       95      68 Pelagisk, Maneter, Plankton, Lysprikk
         69        58       95      69 Makrell, Sei
          0        58       96       0 Utolkede data (raadata)
          1        58       96       1 Andre sorter
          2        58       96       2 Bunnfisk
          3        58       96       3 Pelagisk fisk
          4        58       96       4 Maneter
          5        58       96       5 Reker
          6        58       96       6 Plankton
          7        58       96       7 Lysprikkfisk
          8        58       96       8 Polartorsk
          9        58       96       9 II-Sild
         10        58       96      10 I-Sild
         11        58       96      11 0-Sild
         12        58       96      12 Sild
         13        58       96      13 II-Lodde
         14        58       96      14 I-Lodde
         15        58       96      15 0-Lodde
         16        58       96      16 Lodde
         17        58       96      17 0-gruppe blandet
         18        58       96      18 Hvitting
         19        58       96      19 Lyr
         20        58       96      20 Brisling
         21        58       96      21 Makrell
         22        58       96      22 Sei
         23        58       96      23 Vassild
         24        58       96      24 Kolmule
         25        58       96      25 Brosme
         26        58       96      26 Lange
         27        58       96      27 Sil
         28        58       96      28 Oeyepaal
         29        58       96      29 Uer
         30        58       96      30 Hyse
         31        58       96      31 Torsk
         32        58       96      32 0-Uer
         33        58       96      33 0-Polartorsk
         40        58       96      40
         41        58       96      41 Hyse, Torsk
         42        58       96      42 Vassild, Kolmule
         43        58       96      43 Andre sorter, Lodde
         44        58       96      44 Pelagisk fisk, Plankton
         45        58       96      45 Andre sorter, Plankton
         46        58       96      46 Plankton, 0-Sild, 0-Lodde
         47        58       96      47 Uer, Hyse, Torsk
         48        58       96      48 Lodde, Kolmule
         49        58       96      49 Lysprikkfisk, Kolmule
         50        58       96      50 Kolmule, Uer
         51        58       96      51 Andre sorte, 0-Sild, Sild
         52        58       96      52 Bunnfisk
         53        58       96      53 Sild, Brisling
         54        58       96      54 Plankton, Lysprikkfisk
         55        58       96      55 Andre sorter, Bunnfisk
         56        58       96      56 Hvitting, Brosme, Sil
         57        58       96      57 Plankton, 0-gruppe blandet
         58        58       96      58 I-Sild, 0-Sild
         59        58       96      59 II-Lodde, I-Lodde
         60        58       96      60 Andre sorter, II-Sild
         61        58       96      61 0-Sild, Brisling
         62        58       96      62 Bunnfisk, Oeyepaal, Torsk
         63        58       96      63 Bunnfisk, Hyse, Torsk
         64        58       96      64 Pelagisk fisk, Lysprikkfisk
         65        58       96      65
         66        58       96      66 Andre sorter, Uer
         67        58       96      67 Maneter, Reker, Plankton, Lysprikk
         68        58       96      68 Pelagisk, Maneter, Plankton, Lysprikk
         69        58       96      69 Makrell, Sei
